Autor	Texto
@leopardovibes	Isso é muito real @AvonBR @MercadoPagoBR @seara_brasil @DisneyPlusBR @americanas @listerinebr @CasasBahia @magalu   A final do corrida vai ser mais grandiosa ainda, tirem por base a final do ano passado. Várias pessoas saindo de outros estados para ir ver!   @DivaDepressao 💙💙 https://t.co/qV4l9o7znv
@Indica_Pedro	Hoje Foi dia de pegar Celular dobrável por R$ 999!!  Obrigado @CasasBahia , vocês deram o nome.  https://t.co/0aaZKLVfzB https://t.co/LVUA18uKwm
@loeeeeeer	como que uma loja velha que nem a @CasasBahia NAO TEM UM ATENDIMENTO HUMANO  QUE INFEEEEERNOOOOOO
@loeeeeeer	@CasasBahia mano, mandei dm e vcs nada há mais de 2 horas
@NERYACRE	É Black É Friday com a Bia é as @CasasBahia ❤️  @BeatrizRBrasil 💙 https://t.co/dP3IHeSyVX
@loeeeeeer	@CasasBahia ja chamei e nada de resposta la
@cue071	@NiesBr @postbsk @CasasBahia kkkkkk
@MsSilvaNinja	@Europol please liaise with @policiafederal &amp; @agenciapublica ref “CASO K” - serious multiple abuse of children by jewish father &amp; son living in Brasil. Father died in 2014 &amp; is the founder of @CasasBahia . @IllicitFlows &amp; @OCCRP @wikileaks @FbdnStories can you assist please.
@Sousa26Camila	@CasasBahia disse que passou no meu condomínio para recolher o produto que devolvi três vezes. As datas previstas para recolha, inclusive, encaminhadas por email, não foram respeitadas. Os porteiros disseram que hj não foi ninguém. Segundo a empresa, minha devolução foi cancelada
@loeeeeeer	@CasasBahia chamei la
@loeeeeeer	@CasasBahia tem algum telefone que eu possa falar com uma PESSOA DE VDD?   meu produto nao chegou ainda e o prazo é ate hj
@seofagner	@CasasBahia , pode cancelar o atendimento pelo WhatsApp pq simplesmente nao presta
@najatatuada	@proconspoficial @CasasBahia Ah, pelo site eu acabei de fazer - muito obrigada! A gente quanto consumidor fica se sentindo um palhaço! Fiz minha economia para adquirir um smartphone para trabalhar e agora estou sem aparelho e sem dinheiro .. mas vou confiar que esse problema não dure muito +
@najatatuada	@proconspoficial @CasasBahia Muitissimo obrigada! Vou até o Procon mais próximo aqui da minha casa 🤍❤️
@proconspoficial	@najatatuada @CasasBahia Olá! Informamos que a conduta do fornecedor caracteriza-se como descumprimento à oferta, conforme artigo 35 do CDC. Caso resida no estado de São Paulo, digitalize os documentos referentes à compra, acesse https://t.co/0CBgLubENa  e faça a reclamação.
@danieldk_7	@assaioficial @paodeacucar @pontofrio @CasasBahia @NetflixBrasil @nubank @interbr @CocaCola_Br @PepsiCoBrasil @BurgerKingBR @McDonalds_BR @CocoBambuReal @tvglobo @otempo @SubwayBrasil @BHShopping @oBoticario @naturabroficial @HinodeOficial @Cruzeiro @itatiaia @MPTrabalho @Honda @yamahabrasil @OnibusMarcopolo @Netshoes @MercadoLivre @carrefourbrasil @centauroesporte @Nike @adidasbrasil @VoeGOLoficial @PoloWear @amazonbrasil @MicrosoftBr @KFCBrasil
@danieldk_7	@assaioficial @paodeacucar @pontofrio @CasasBahia @NetflixBrasil @nubank @interbr @CocaCola_Br @PepsiCoBrasil @BurgerKingBR @McDonalds_BR @CocoBambuReal @tvglobo @otempo @SubwayBrasil @BHShopping @DrogasilOficial @drogaria_araujo @Ambev @FiatBR @chevroletbrasil @BrasilBYD @Honda @positivooficial @CasasBahia @americanas @Rede98Oficial @RedeTV @recordtvoficial @radiobandnewsfm @googlebrasil @X @chevroletbrasil @localizabr @Lojas_Renner @LojasREDE @itau @Bradesco
@najatatuada	@CasasBahia Te mandei mensagem sim, aliás é o que venho fazendo há dias, tentando contato. Estou tentando contato com o senhor Renato Franklin também pois não é possível que ninguém consiga resolver meu problema. Não vou esperar mais, exijo meu reembolso
@Indica_Pedro	moto Razr 40 Ultra por R$ 999 nasas casas bahia 🙏🏻  Obrigado @CasasBahia   https://t.co/0aaZKLVfzB https://t.co/3kajqMCKri
@najatatuada	@CasasBahia @proconspoficial
@Economizar_br	@CasasBahia Promoção encerrada.
@bizzlestttan	"a opção de ""agendar entrega"" das @CasasBahia  é simplesmente à toa, porque não respeitam o que o cliente escolhe. fora o suporte de atendimento que é péssimo, tu fica um tempão falando  com bot porque não tem opção direta para falar com o atendente."
